SrNo,Year,Blast_Day_Type,City,Latitude,Longitude,Province,Location_Sensitivity,Space_Type,Targeted_Sect,Killed,Injured,No_of_suicide_blasts,Explosive_Wt_Kg,Temperature_C,
255,2010,Working Day,Peshawar,34.0043,71.5448,KPK,High,Open,Christian,8,,1,,23.14,
256,2010,Working Day,Lower Dir,34.8453,71.9046,KPK,Medium,Open,,56,75,3,,21.10,
257,2010,Working Day,Quetta,30.2095,67.0182,Balochistan,Low,Closed,Shiite,11,35,1,15,25.14,
258,2010,Working Day,Kohat,33.5833,71.4333,KPK,Low,Open,,44,60,2,12,28.75,
259,2010,Holiday,Kohat,33.5833,71.4333,KPK,High,Closed,,7,30,1,250,26.62,
260,2010,Working Day,Peshawar,34.0043,71.5448,KPK,Low,Open,Sunni,24,27,1,8,25.96,
261,2010,Working Day,Peshawar,34.0043,71.5448,KPK,High,Open,,5,11,1,300,26.47,
262,2010,Holiday,Swat,35.2227,72.4258,KPK,Low,Open,,7,9,1,15,23.32,
263,2010,Holiday,Bajaur Agency,34.8718,71.5249,FATA,High,Open,,0,,1,,27.03,
264,2010,Working Day,Lahore,31.5451,74.3407,Punjab,Medium,Closed,Ahmedi,95,92,1,,31.50,
265,2010,Working Day,Lahore,31.5451,74.3407,Punjab,Medium,Closed,,42,,2,20,32.37,
266,2010,Working Day,Mohmand agency ,32.9746,70.1456,FATA,Low,Open,,80,104,2,,26.73,
267,2010,Working Day,Kohat,33.5833,71.4333,KPK,Low,Open,,0,,1,,32.21,
268,2010,Holiday,Sargodha,32.0791,72.6718,Punjab,Medium,Closed,Shiite,4,9,1,,34.81,
